a.series,wgt.wgted.L.klb,wgt_wgted_L_klb,,kg
a.series,wgt.wgted.D.klb,wgt_wgted_D_klb,,kg
a.series,prop.female,proportion_female,,
a.series,mat.female,mature_female,,kg
a.series,fecundity.scaled,fecundity_scaled,,kg
a.series,reprod,reprod,,kg
a.series,reprod.MatFemB,reprod_MatFemB,,kg
a.series,M,natural_mortality,,
a.series,F.initial,F_initial,,
a.series,Z.initial,Z_initial,,kg
a.series,Nage.eq.init,Nage_eq_init,,
a.series,log.Nage2plus.init.dev,log_Nage2plus_plus.init_dev,,
eq.series,F.eq,fishing_mortality,,
eq.series,spr.eq,spr,,
eq.series,R.eq,recruitment,,kg
eq.series,SSB.eq,spawning_biomass,,kg
eq.series,B.eq,biomass,,kg
eq.series,L.eq.klb,landings_weight,,kg
eq.series,D.eq.knum,discard_numbers,,
eq.series,D.eq.klb,discard_weight,,kg
pr.series,F.spr,f_spr,,
pr.series,spr,spr,,
pr.series,SPR,spr,,
pr.series,ypr.lb,ypr,,kg
pr.series,total.lb,total_lb,,lb
CLD.est.mats,Lw,Lw,,kg
CLD.est.mats,Lw.total,Lw_total,,kg
CLD.est.mats,Dw,Dw,,kg
CLD.est.mats,Dw.total,Dw_total,,kg
CLD.est.mats,Ln,Ln,,kg
CLD.est.mats,Ln.total,Ln_total,,kg
CLD.est.mats,Dn,Dn,,kg
CLD.est.mats,Dn.total,Dn_total,,kg
age.error,error.mat,error_mat,,kg
proj.t.series,F.proj,fishing_mortality,,
proj.t.series,SSB.proj,spawning_biomass,,kg
proj.t.series,B.proj,biomass,,kg
proj.t.series,R.proj,recruitment,,kg
proj.t.series,L.knum.proj,landings_numbers,,
proj.t.series,L.klb.proj,landings_weight,,kg
proj.N.age,proj.N.age,abundance,,kg
B.age,b.mdyr.age,biomass_midyear_age,,kg
LD.pr.tseries,l.age.pred.mt,landings_predicted_weight,,kg
LD.pr.tseries,l.mt,landings_weight,,kg
M.age,m.age,natural_mortality,,
a.series,mat_male,mature_male,,kg
a.series,prop_male,proportion_male,,
comp.mats,acomp.ob,age_composition_observed,,kg
comp.mats,acomp.pr,age_composition_predicted,,kg
comp.mats,lcomp.pr,length_composition_predicted,,
parms,F_F_msy,fishing_mortality_fishing_mortality_msy,,
parms,F_F_msy_mean,fishing_mortality_fishing_mortality_msy_mean,,
parms,b.f30,biomass_f30,,kg
parms,bstyr.b0,biomass_start_tear_b0,,kg
parms,l.f30.knum,landings_f30_numbers,,
parms,l.f30.mt,landings_f30_weight,,kg
parms,msy.mt,msy_weight,,kg
parms,ssb.f30,spawning_biomass_f30,,kg
projection,b.proj,biomass,,kg
projection,f.proj,fishing_mortality,,
projection,l.knum.proj,landings_numbers,,
projection,l.my.proj,landings_weight,,kg
projection,r.proj,recruitment,,kg
projection,ssb.proj,spawning_biomass,,kg
spr.brps,b.f30,biomass_f30,,kg
spr.brps,fend.f30.mean,fishing_mortality_end_fishing_mortality_f30_mean,,
spr.brps,l.f30.knum,landings_f30_numbers,,
spr.brps,l.f30.mt,landings_f30_weight,,kg
spr.brps,r.f30,recruitment_f30,,kg
spr.brps,ssb.f30,spawning_biomass_f30,,kg
spr.brps,ssbend.ssbf30,spawning_biomass_end_spawning_biomass_f30,,kg
t.series,total.l.mt,landings_weight,,kg
