module_name,label,alt_label,unit
Growth_Parameters,cvmax,,kg
Growth_Parameters,natm_amin,,kg
Growth_Parameters,natm_max,,kg
Growth_Parameters,m_age0,,kg
Growth_Parameters,m_nages,,kg
Growth_Parameters,wtlen1,,kg
Growth_Parameters,wtlen2,,kg
Growth_Parameters,mat1,,kg
Growth_Parameters,mat2,,kg
Growth_Parameters,fec1,,kg
Growth_Parameters,fec2,,kg
MEAN_BODY_WT(Begin),mean_body_wt,,kg
Dynamic_Bzero,Dynamic_Bzero,dynamic_biomass_zero,kg
,sprtarg,spr_target,kg
,btarg,biomass_target,kg
,SBzero,spawning_biomass_zero,kg
,seas_dur,season_duration,
,annual_f,fishing_mortality,
,annual_m,natural_mortality,
,bio_all_eq,biomass,kg
,bio_smry_eq,biomass_reference_age,
,ssbfished_eq,spawning_biomass_fished,kg
,ssbfished_r,spawning_biomass_fished_recruitment,kg
,f_std,fishing_mortality,
,ave_f,fishing_mortality_average,
,maxf,fishing_mortality_max,
,tot_exploit,,kg
,dead_catch_b,,kg
,retain_catch_n,,kg
,retain_catch_b,,kg
,enc_catch_n,,kg
,dead_catch_n,,kg
,m,natural_mortality,
,enc_catch,,kg
,mnage_smry,,kg
,mnage_catch,,kg
,ssb,spawning_biomass,kg
,ssb_nofishing,spawning_biomass_no_fishing,kg
,f_msy,fishing_mortality_msy,
DISCARD_OUTPUT,discard_obs,discard_observed,kg
DISCARD_OUTPUT,discard_exp,discard_predicted,kg
DISCARD_OUTPUT,discard_dev,discard_deviation,kg
